"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Miaoniu","Ultra Prime","Support",1,"0%","100%",0,5,0,0,"0.0%","0.0%","29.4%",,,,,0.7,,189,"9.0%",,54,"6.2%",,2.24,0.78,0.45
"Ming","Royal Never Give Up","Support",23,"61%","52%",20,52,210,4.4,"74.0%","6.4%","19.8%",,,,,1.5,,171,"8.1%",,118,"9.9%",,1.63,0.45,0.37
"Missing","JD Gaming","Support",30,"70%","53%",23,76,335,4.7,"72.6%","4.7%","23.6%",,,,,1,,218,"8.8%",,122,"9.5%",,1.59,0.45,0.32
"Mole","Invictus Gaming","Middle",4,"25%","25%",4,11,24,2.5,"77.8%","11.1%","17.7%",,,,,7.2,,391,"20.8%",,202,"19.5%",,0.27,0.14,0.15
"ON","Weibo Gaming","Support",28,"50%","54%",19,84,231,3,"70.2%","5.3%","25.7%",,,,,1.6,,218,"9.2%",,119,"9.9%",,1.77,0.45,0.52
"PandaC","LNG Esports","Top",3,"33%","33%",0,12,6,0.5,"23.1%","0.0%","28.6%",,,,,7.5,,290,"19.6%",,217,"21.6%",,0.48,0.19,0.11
"Photic","Victory Five","ADC",22,"82%","41%",116,38,133,6.6,"73.2%","34.1%","17.5%",,,,,8.1,,687,"29.5%",,325,"26.0%",,0.54,0.11,0.48
"ppgod","Victory Five","Support",22,"82%","45%",13,47,218,4.9,"67.9%","3.8%","21.7%",,,,,1.9,,158,"6.7%",,136,"10.7%",,1.17,0.34,0.21
"Puff","ThunderTalk Gaming","ADC",11,"27%","64%",34,21,55,4.2,"71.8%","27.4%","17.4%",,,,,8.1,,537,"28.1%",,273,"24.7%",,0.5,0.14,0.45
"QiuQiu","Anyone's Legend","Support",24,"63%","50%",23,62,223,4,"75.0%","7.0%","23.0%",,,,,2.4,,212,"10.3%",,135,"11.3%",,1.61,0.38,0.22
